Firstname,Lastname,Email,Password,CNP,Phonenumber
Gigel,Gigel,gigel@gmail.com,Gigel1234,50202020202,0763636363
Gigel,Frone,gigel@gmail.com,Gigel.123,5100222232323,0761616161
Maria,Bortos,maria@gmail.com,Maria.123,5101010101010,0761616161
Razvan,Gigel,razvan@gmail.com,Razvan123,5101010101010,0761616161
Gigel,Razvan,gigel@gmail.com,Gigel123,5101010101010,0766666666
Maria,Maria,maria@gmail.com,Maria123,5101010101010,0761616161
Maria,Maria,maria@gmail.com,Maria123,5101010101010,0761616161
Maria,Maria,maria@gmail.com,Maria123,5101010101010,0761616161
Razvan,Mihai,razvan@gmail.com,Razvan123,5111111111111,0761616161
Maria,Maria,maria@gmail.com,Maria123,5101010101010,0761616161
